sheet,pertanyaan,reference,candidate,candidate_raw,bert_p,bert_r,bert_f1,semantic_similarity
Sheet1,anak usia 5-14 tahun menderita anemia dengan presentase berapa?,"anak usia 5-14 tahun menderita anemia 26,4%","Berdasarkan hasil penelusuran dokumen, anak usia 5-14 tahun menderita anemia 26,4%","Berdasarkan Riskesdas 2013, anak usia 5-14 tahun menderita anemia 26,4% dan usia 15-24 tahun sebesar 18,4%.",0.7980025410652161,0.9365807175636292,0.8617560267448425,0.8617560267448425
Sheet1,anak usia 15-24 tahun menderita anemia dengan presentase berapa?,"anak usia 15-24 tahun menderita anemia 16,4%","Berdasarkan hasil penelusuran dokumen, anak usia 15-24 tahun menderita anemia 16,4%","Berdasarkan Riskesdas 2013, anak usia 5-14 tahun menderita anemia 26,4% dan usia 15-24 tahun sebesar 18,4%.",0.8010921478271484,0.9377434253692627,0.8640482425689697,0.8640482425689697
Sheet1,apa itu anemia?,Anemia adalah suatu kondisi tubuh dimana kadar hemoglobin (Hb) dalam sel darah merah lebih rendah dari standar yang seharusnya.,Anemia adalah suatu kondisi tubuh dimana kadar hemoglobin (Hb) dalam sel darah merah lebih rendah dari standar yang seharusnya.,Anemia adalah suatu kondisi tubuh dimana kadar hemoglobin (Hb) dalam sel darah merah lebih rendah dari standar yang seharusnya.,1.0,1.0,1.0,1.0
Sheet1,sumber utama vitamin a adalah?,Sumber utama vitamin A adalah minyak ikan dan hati sapi,"Berdasarkan hasil penelusuran dokumen, Sumber utama vitamin A adalah minyak ikan dan hati sapi",Makanan sumber zat besi seperti: 1) Sumber makanan yang kaya besi adalah pangan hewani karena mengandung zat besi (besi heme) yang mudah diserap dalam pencernaan.,0.8037667870521545,0.967898964881897,0.8782300353050232,0.8782300353050232
Sheet1,apa sumber utama vitamin e?,"Minyak sayur seperti minyak kelapa, minyak kelapa sawit, dan minyak kacang kedelai.","Berdasarkan hasil penelusuran dokumen, Minyak sayur seperti minyak kelapa, minyak kelapa sawit, dan minyak kacang kedelai.","Kekurangan asupan zat gizi (zat besi, asam folat, vitamin B12, dan protein) sehingga mengganggu pembentukan hemoglobin; • Rata-rata pola konsumsi masyarakat Indonesia berisiko menderita anemia, terutama anemia defisiensi/ kekurangan besi karena kurang asupan pangan sumber zat besi.",0.8530338406562805,0.9500270485877991,0.8989216089248657,0.8989216089248657
Sheet1,prevalensi anemia pada ibu hamil adalah?,"Prevalensi anemia pada ibu hamil di Indonesia adalah 48,9% berdasarkan Riskesdas 2018","Berdasarkan hasil penelusuran dokumen, Prevalensi anemia pada ibu hamil di Indonesia adalah 48,9% berdasarkan Riskesdas 2018","Berdasarkan Riskesdas 2018, prevalensi anemia pada ibu hamil 48,9%, dan prevalensi anemia pada usia 5-14 tahun (26,8%) dan usia 15-24 tahun (32%).",0.8820120096206665,0.9737533330917358,0.9256150722503662,0.9256150722503662
Sheet1,prevalensi anemia pada usia 5-14 adalah?,"Prevalensi anemia pada usia 5-14 tahun adalah 26,8% menurut Riskesdas 2018","Berdasarkan hasil penelusuran dokumen, Prevalensi anemia pada usia 5-14 tahun adalah 26,8% menurut Riskesdas 2018","Berdasarkan Riskesdas 2018, prevalensi anemia pada ibu hamil 48,9%, dan prevalensi anemia pada usia 5-14 tahun (26,8%) dan usia 15-24 tahun (32%).",0.8793926239013672,0.973808228969574,0.9241952896118164,0.9241952896118164
Sheet1,prevalensi anemia pada usia 15-24 adalah?,Prevalensi anemia pada usia 15-24 tahun adalah 32% berdasarkan Riskesdas 2018,"Berdasarkan hasil penelusuran dokumen, Prevalensi anemia pada usia 15-24 tahun adalah 32% berdasarkan Riskesdas 2018","Berdasarkan Riskesdas 2018, prevalensi anemia pada ibu hamil 48,9%, dan prevalensi anemia pada usia 5-14 tahun (26,8%) dan usia 15-24 tahun (32%).",0.8724462985992432,0.9711458086967468,0.9191540479660034,0.9191540479660034
Sheet1,Salah satu target prioritas nasional dalam RPJMN 2020-2024 adalah?,Salah satu target prioritas nasional dalam RPJMN 2020-2024 adalah menurunkan stunting menjadi 14% pada tahun 2024.,"Berdasarkan hasil penelusuran dokumen, Salah satu target prioritas nasional dalam RPJMN 2020-2024 adalah menurunkan stunting menjadi 14% pada tahun 2024.",UNKNOWN,0.8979499936103821,0.9787218570709229,0.9365977644920349,0.9365977644920349
Sheet1,Apakah TTD bahaya jika di konsumsi secara terus menerus?,TTD tidak berbahaya dan aman dikonsumsi oleh ibu hamil dan remaja putri secara rutin karena Tubuh akan secara otomatis menyerap zat besi yang dikonsumsi jika tubuh kekurangan zat besi.,"Berdasarkan hasil penelusuran dokumen, TTD tidak berbahaya dan aman dikonsumsi oleh ibu hamil dan remaja putri secara rutin karena Tubuh akan secara otomatis menyerap zat besi yang dikonsumsi jika tubuh kekurangan zat besi.",Tablet Tambah Darah (TTD) Bahaya Jika Dikonsumsi secara Terus Menerus/Rutin TTD tidak berbahaya dan aman dikonsumsi oleh ibu hamil dan remaja putri secara rutin karena: • Tubuh akan secara otomatis menyerap zat besi yang dikonsumsi jika tubuh kekurangan zat besi.,0.9156947135925293,0.9699922800064087,0.942061722278595,0.942061722278595
Sheet1,prevalensi anemia pada WUS usia 15 je atas sebesar?,"prevalensi anemia pada WUS usia  15 tahun ke atas sebesar  22,7%,","Berdasarkan hasil penelusuran dokumen, prevalensi anemia pada WUS usia 15 tahun ke atas sebesar 22,7%,","Berdasarkan Riskesdas 2018, prevalensi anemia pada ibu hamil 48,9%, dan prevalensi anemia pada usia 5-14 tahun (26,8%) dan usia 15-24 tahun (32%).",0.8398616909980774,0.9520217776298523,0.8924314975738525,0.8924314975738525
