sheet,pertanyaan,reference,candidate,candidate_raw,rouge1_p,rouge1_r,rouge1_f,rouge2_p,rouge2_r,rouge2_f,rougeL_p,rougeL_r,rougeL_f
Sheet1,anak usia 5-14 tahun menderita anemia dengan presentase berapa?,"anak usia 5-14 tahun menderita anemia 26,4%","Berdasarkan hasil penelusuran dokumen, anak usia 5-14 tahun menderita anemia 26,4%","Berdasarkan Riskesdas 2013, anak usia 5-14 tahun menderita anemia 26,4% dan usia 15-24 tahun sebesar 18,4%.",0.6923076923076923,1.0,0.8181818181818181,0.6666666666666666,1.0,0.8,0.6923076923076923,1.0,0.8181818181818181
Sheet1,anak usia 15-24 tahun menderita anemia dengan presentase berapa?,"anak usia 15-24 tahun menderita anemia 16,4%","Berdasarkan hasil penelusuran dokumen, anak usia 15-24 tahun menderita anemia 16,4%","Berdasarkan Riskesdas 2013, anak usia 5-14 tahun menderita anemia 26,4% dan usia 15-24 tahun sebesar 18,4%.",0.6923076923076923,1.0,0.8181818181818181,0.6666666666666666,1.0,0.8,0.6923076923076923,1.0,0.8181818181818181
Sheet1,apa itu anemia?,Anemia adalah suatu kondisi tubuh dimana kadar hemoglobin (Hb) dalam sel darah merah lebih rendah dari standar yang seharusnya.,Anemia adalah suatu kondisi tubuh dimana kadar hemoglobin (Hb) dalam sel darah merah lebih rendah dari standar yang seharusnya.,Anemia adalah suatu kondisi tubuh dimana kadar hemoglobin (Hb) dalam sel darah merah lebih rendah dari standar yang seharusnya.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sheet1,sumber utama vitamin a adalah?,Sumber utama vitamin A adalah minyak ikan dan hati sapi,"Berdasarkan hasil penelusuran dokumen, Sumber utama vitamin A adalah minyak ikan dan hati sapi",Makanan sumber zat besi seperti: 1) Sumber makanan yang kaya besi adalah pangan hewani karena mengandung zat besi (besi heme) yang mudah diserap dalam pencernaan.,0.7142857142857143,1.0,0.8333333333333333,0.6923076923076923,1.0,0.8181818181818181,0.7142857142857143,1.0,0.8333333333333333
Sheet1,apa sumber utama vitamin e?,"Minyak sayur seperti minyak kelapa, minyak kelapa sawit, dan minyak kacang kedelai.","Berdasarkan hasil penelusuran dokumen, Minyak sayur seperti minyak kelapa, minyak kelapa sawit, dan minyak kacang kedelai.","Kekurangan asupan zat gizi (zat besi, asam folat, vitamin B12, dan protein) sehingga mengganggu pembentukan hemoglobin; • Rata-rata pola konsumsi masyarakat Indonesia berisiko menderita anemia, terutama anemia defisiensi/ kekurangan besi karena kurang asupan pangan sumber zat besi.",0.75,1.0,0.8571428571428571,0.7333333333333333,1.0,0.846153846153846,0.75,1.0,0.8571428571428571
Sheet1,prevalensi anemia pada ibu hamil adalah?,"Prevalensi anemia pada ibu hamil di Indonesia adalah 48,9% berdasarkan Riskesdas 2018","Berdasarkan hasil penelusuran dokumen, Prevalensi anemia pada ibu hamil di Indonesia adalah 48,9% berdasarkan Riskesdas 2018","Berdasarkan Riskesdas 2018, prevalensi anemia pada ibu hamil 48,9%, dan prevalensi anemia pada usia 5-14 tahun (26,8%) dan usia 15-24 tahun (32%).",0.7647058823529411,1.0,0.8666666666666666,0.75,1.0,0.8571428571428571,0.7647058823529411,1.0,0.8666666666666666
Sheet1,prevalensi anemia pada usia 5-14 adalah?,"Prevalensi anemia pada usia 5-14 tahun adalah 26,8% menurut Riskesdas 2018","Berdasarkan hasil penelusuran dokumen, Prevalensi anemia pada usia 5-14 tahun adalah 26,8% menurut Riskesdas 2018","Berdasarkan Riskesdas 2018, prevalensi anemia pada ibu hamil 48,9%, dan prevalensi anemia pada usia 5-14 tahun (26,8%) dan usia 15-24 tahun (32%).",0.7647058823529411,1.0,0.8666666666666666,0.75,1.0,0.8571428571428571,0.7647058823529411,1.0,0.8666666666666666
Sheet1,prevalensi anemia pada usia 15-24 adalah?,Prevalensi anemia pada usia 15-24 tahun adalah 32% berdasarkan Riskesdas 2018,"Berdasarkan hasil penelusuran dokumen, Prevalensi anemia pada usia 15-24 tahun adalah 32% berdasarkan Riskesdas 2018","Berdasarkan Riskesdas 2018, prevalensi anemia pada ibu hamil 48,9%, dan prevalensi anemia pada usia 5-14 tahun (26,8%) dan usia 15-24 tahun (32%).",0.75,1.0,0.8571428571428571,0.7333333333333333,1.0,0.846153846153846,0.75,1.0,0.8571428571428571
Sheet1,Salah satu target prioritas nasional dalam RPJMN 2020-2024 adalah?,Salah satu target prioritas nasional dalam RPJMN 2020-2024 adalah menurunkan stunting menjadi 14% pada tahun 2024.,"Berdasarkan hasil penelusuran dokumen, Salah satu target prioritas nasional dalam RPJMN 2020-2024 adalah menurunkan stunting menjadi 14% pada tahun 2024.",UNKNOWN,0.8095238095238095,1.0,0.8947368421052632,0.8,1.0,0.888888888888889,0.8095238095238095,1.0,0.8947368421052632
Sheet1,Apakah TTD bahaya jika di konsumsi secara terus menerus?,TTD tidak berbahaya dan aman dikonsumsi oleh ibu hamil dan remaja putri secara rutin karena Tubuh akan secara otomatis menyerap zat besi yang dikonsumsi jika tubuh kekurangan zat besi.,"Berdasarkan hasil penelusuran dokumen, TTD tidak berbahaya dan aman dikonsumsi oleh ibu hamil dan remaja putri secara rutin karena Tubuh akan secara otomatis menyerap zat besi yang dikonsumsi jika tubuh kekurangan zat besi.",Tablet Tambah Darah (TTD) Bahaya Jika Dikonsumsi secara Terus Menerus/Rutin TTD tidak berbahaya dan aman dikonsumsi oleh ibu hamil dan remaja putri secara rutin karena: • Tubuh akan secara otomatis menyerap zat besi yang dikonsumsi jika tubuh kekurangan zat besi.,0.8787878787878788,1.0,0.9354838709677419,0.875,1.0,0.9333333333333333,0.8787878787878788,1.0,0.9354838709677419
